Successfully imported message (Sent at: 2025-02-24T14:30:00, Status: Sent)
Invalid data format.
Successfully imported message (Sent at: 2025-02-24T14:40:00, Status: Delivered)
Successfully imported message (Sent at: 2025-02-24T14:45:00, Status: Seen)
Successfully imported message (Sent at: 2025-02-24T14:50:00, Status: Sent)
Successfully imported message (Sent at: 2025-02-24T14:55:00, Status: Delivered)
Successfully imported message (Sent at: 2025-02-24T15:00:00, Status: Seen)
Successfully imported message (Sent at: 2025-02-24T15:05:00, Status: Sent)
Successfully imported message (Sent at: 2025-02-24T15:10:00, Status: Delivered)
Duplicated data.
Successfully imported message (Sent at: 2025-02-22T18:00:00, Status: Sent)
Successfully imported message (Sent at: 2025-02-22T18:05:00, Status: Delivered)
Successfully imported message (Sent at: 2025-02-22T18:10:00, Status: Seen)
Successfully imported message (Sent at: 2025-02-22T18:15:00, Status: Sent)
Successfully imported message (Sent at: 2025-02-22T18:20:00, Status: Delivered)
Successfully imported message (Sent at: 2025-02-22T18:25:00, Status: Seen)
Successfully imported message (Sent at: 2025-02-22T18:30:00, Status: Sent)
Successfully imported message (Sent at: 2025-02-22T18:35:00, Status: Delivered)
Invalid data format.
Successfully imported message (Sent at: 2025-02-23T10:20:00, Status: Sent)
Successfully imported message (Sent at: 2025-02-23T10:20:25, Status: Delivered)
Successfully imported message (Sent at: 2025-02-23T10:21:30, Status: Seen)
Successfully imported message (Sent at: 2025-02-23T10:22:10, Status: Sent)
Successfully imported message (Sent at: 2025-02-23T10:22:40, Status: Delivered)
Successfully imported message (Sent at: 2025-02-23T10:23:05, Status: Seen)
Successfully imported message (Sent at: 2025-02-23T10:25:00, Status: Sent)
Successfully imported message (Sent at: 2025-02-23T10:25:20, Status: Delivered)
Successfully imported message (Sent at: 2025-02-23T10:25:30, Status: Seen)
Successfully imported message (Sent at: 2025-02-23T10:26:00, Status: Sent)
Invalid data format.
Successfully imported message (Sent at: 2025-01-31T16:23:00, Status: Sent)
Successfully imported message (Sent at: 2025-01-31T16:28:00, Status: Delivered)
Successfully imported message (Sent at: 2025-01-31T16:30:00, Status: Seen)
Successfully imported message (Sent at: 2025-01-31T16:35:00, Status: Sent)
Successfully imported message (Sent at: 2025-01-31T16:40:00, Status: Delivered)
Successfully imported message (Sent at: 2025-01-31T16:42:00, Status: Seen)
Successfully imported message (Sent at: 2025-01-31T16:45:00, Status: Failed)
Successfully imported message (Sent at: 2025-01-31T16:50:00, Status: Sent)
Successfully imported message (Sent at: 2025-01-31T16:55:00, Status: Delivered)
Successfully imported message (Sent at: 2025-01-31T17:00:00, Status: Seen)
Successfully imported message (Sent at: 2024-08-10T14:05:00, Status: Sent)
Successfully imported message (Sent at: 2024-08-10T14:10:00, Status: Delivered)
Successfully imported message (Sent at: 2024-08-10T14:15:00, Status: Seen)
Successfully imported message (Sent at: 2024-08-10T14:20:00, Status: Sent)
Successfully imported message (Sent at: 2024-08-10T14:25:00, Status: Delivered)
Successfully imported message (Sent at: 2024-08-10T14:30:00, Status: Seen)
Successfully imported message (Sent at: 2024-08-10T14:35:00, Status: Sent)
Successfully imported message (Sent at: 2024-08-10T14:40:00, Status: Delivered)
Successfully imported message (Sent at: 2024-08-10T14:45:00, Status: Seen)
Successfully imported message (Sent at: 2024-08-10T20:12:00, Status: Sent)
Successfully imported message (Sent at: 2024-08-10T20:14:00, Status: Delivered)
Successfully imported message (Sent at: 2024-08-10T20:15:00, Status: Sent)
Successfully imported message (Sent at: 2024-08-10T20:16:00, Status: Seen)
Successfully imported message (Sent at: 2024-08-10T20:18:00, Status: Sent)
Successfully imported message (Sent at: 2024-08-10T20:20:00, Status: Delivered)
Invalid data format.
Successfully imported message (Sent at: 2024-08-10T20:22:00, Status: Seen)
Successfully imported message (Sent at: 2024-08-10T20:25:00, Status: Sent)
Successfully imported message (Sent at: 2024-08-10T20:28:00, Status: Delivered)
Successfully imported message (Sent at: 2024-08-10T20:30:00, Status: Seen)
Successfully imported message (Sent at: 2024-08-10T20:33:00, Status: Sent)
Invalid data format.
